id;region_id;name;description;contact_number;address;website_link
801;5;SD STRADA VAN LITH I;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Florentina Andri Hendarwatmanti dan operator yang bernama Blasius Dhedi Riawan;(021) 4205122;Jl. Gn. Sahari No.88 8, RT.8/RW.8, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610;https://vanlith1.sdstrada.sch.id/
802;5;SDS Kristen II BPK Penabur;SDK 2 PENABUR adalah salah satu sekolah awal yang didirikan oleh Gereja Kristen Indonesia Jawa Barat yang sudah ada sejak zaman Belanda. Pada awalnya gedung yang dipakai adalah gedung hibahan dari pemerintah Belanda. Lokasinya masih sama sejak didirikan sampai saat ini di Jalan Pembangunan 1 no. 23. SDK 2 PENABUR merupakan sekolah pagi. Pada masa kepengurusan BPK PENABUR dengan ketuanya Mr. Yap Thiam Hien (1953 – 1957), fasilitas-fasilitas di SD Kristen 2 dan SMP kristen 2 milik Yayasan BPK Jabar diserobot petang hari tanpa izin, oleh Yayasan Mary Mayer Funds. Atas usaha Yap Thiam Hien persoalan tersebut dapat diselesaikan secara resmi. Pengurus KPS Jakarta yang pernah menjadi penghubung sekolah ini: I.K. Adinata, Uripto Widjaja, Basuki, Ruben Budhisetiawan, Koko Tanumihardja, Egawati Hardjono, S.H., Poppy Soegondo, Lana Adisaputro, Dr. Indriani Widjaja;(021) 63850349;Jl. Pembangunan I No.23 3, RT.7/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130;https://sdk2.bpkpenaburjakarta.or.id/
803;5;SDS Cempaka Ria;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Dwi Nurgianti dan operator yang bernama Sandi;0851-7335-2993;Jl. Rawasari Timur 1, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510;-
804;5;SDS AL MUDDATSIRIYAH;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Robudin dan operator yang bernama ESTI MUNAWAROH;(021) 425968;Jl. F No.3 16, RT.16/RW.1, Utan Panjang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650;-
805;5;SDS Kristen Karunia;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Janty Sutanto dan operator yang bernama TASMIYATI;(021) 3855521;Jl. Gereja Ayam No.12, RT.3/RW.3, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120;https://www.karunia.sch.id/
806;5;SDS Khairul Uswah;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Cecep Burhanuddin dan operator yang bernama Irmah;(021) 53679889;Jl. Petamburan II Kel No.43, RT.4/RW.3, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260;-
807;5;SDS Kinderfield;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama NURUL ANNISYA dan operator yang bernama Elisabet Anantia;(021) 57942782;Jl. KH. Mas Mansyur Kav. 35 Karet Tengsin Tanah Abang Jakarta Pusat DKI Jakarta 12 11, RT.12/RW.11, Karet Tengsin, Kota, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250;http://kinderfieldhighfield.sch.id/
808;5;SDS Muhammadiyah 56;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Ahmad Wahyudi dan operator yang bernama Galbi Abdillah;(021) 3920376;Jl. K.H. Mas Mansyur No.65, RT.5/RW.9, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230;-
809;5;SDS Muhammadiyah 21;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Djuarni dan operator yang bernama A. Fauzan Syafruddin;(021) 6120646;Jl. Gunung Sahari XI No. 15 RT 009 RW 03 Gunung Sahari Utara Sawah Besar Jakarta Pusat DKI Jakarta, RT.5/RW.3, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720;-
810;5;SD BUDI MULIA;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Theresia Hendra dan operator yang bernama HOSARI NADAPDAP;(021) 42877724;Jl. Raya Mangga Besar No.135, RT.5/RW.2, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730;-
