id;region_id;name;description;contact_number;address;website_link
401;3;SDS Azhari Islamic School Cilandak;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Bangun Pristiwati Zahro dan operator yang bernama Saeful Anwar;0817-0097-565;Jl. Jeruk Purut Jl. TB Simatupang No.10, RT.1/RW.3, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560;http://www.azharicilandak.org/
402;3;SDS KWITANG 6 PSKD;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Guty Ria M. Simangunsong dan operator yang bernama MARTIN LAURENS HAPOSAN;(021) 7393135;Jl. Bulungan No.70 6, RT.6/RW.7, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130;https://www.pskd.org/sd6pskd.html
403;3;SDS Kartika X-4;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Sukirman dan operator yang bernama Puji Marjoko;(021) 87753080;Kodam Bintaro, Jl. Pesanggrahan Indah No.1 11, RT.11/RW.5, Pesanggrahan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320;-
404;3;SDS Hang Tuah III;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Titik Lestari dan operator yang bernama EKO KRYSTIANTO;(021) 7817787;Jl. Tlk. Mandar Komplek TNI AL No.70, RT.3/RW.8, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520;https://www.sdshangtuah3jkt.sch.id/
405;3;SD ISLAM AN NURIYAH;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Nurhasan M.yahya,s.sos.i;(021) 7271233;Jl. Timbul No.60, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630;https://yayasanannuriyah.com/
406;3;SDS Perguruan Rakyat 2;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Sefriyani Hayatun Nufus dan operator yang bernama Ari Sulastri;(021) 8304464;Jl. Kp. Melayu Kecil No.38, RT.6/RW.10, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12840;-
407;3;SD AVICENNA;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama AMALIA NOVITA RETAMININGRUM dan operator yang bernama Ahmad Nadhir;(021) 78884887;Jalan Mohamad Kafi II No.66, RT.7/RW.1, Jagakarsa, RT.7/RW.1, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610;https://jagakarsa.sekolah-avicenna.sch.id/sd-avicenna-leadership-school/
408;3;SD Citra Kasih Don Bosco Pondok Indah;Sekolah Citra Kasih Don Bosco adalah sekolah yang memiliki nama awal Perguruan Hendricus Don Bosco. Dimana Perguruan Hendricus Don Bosco didirikan atas gagasan awal Bapak Dr. Ir. Ciputra yang ingin membentuk sebuah yayasan berorientasi sosial dan hal tersebut mendapat banyak dukungan dari para kerabat serta sahabat Pak Ci yang keseluruhannya merupakan alumni dari Don Bosco Manado. Dengan melalui rangkaian perjalanan yang panjang maka berdirilah untuk pertama kali pada tahun 1980 Yayasan Don Bosco dengan perguruannya, yaitu Perguruan Hendricus Don Bosco.;(021) 7660717;Jalan Duta Indah, Pondok Indah, RT.16/RW.6, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430;https://citrakasih.sch.id/sck-donbosco/
409;3;SDS ISLAM AL HIKMAH;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Purwati dan operator yang bernama Zulkarnain;(021) 7661634;Jl. Al Barkah I No.56A 6, RT.9/RW.13, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430;https://sdit.alhikmahmp.sch.id/
410;3;SD BUDI WANITA;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah dan operator yang bernama Desi Linasari;(021) 5271574;Jl. Taman Setia Budi I No.1, RT.3/RW.2, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910;https://sdsbudiwanita.business.site/
411;3;SDI YPI Bintaro;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Nahlan dan operator yang bernama herlina;(021) 7373609;Jl. Perintis Jl. RC. Veteran Raya No.1B 1, RT.1/RW.7, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330;-
